"";"rating";"title"
"1";"9.2";"The Shawshank Redemption"
"2";"9.2";"The Godfather"
"3";"9.0";"The Dark Knight"
"4";"9.0";"The Godfather Part II"
"5";"8.9";"12 Angry Men"
"6";"8.9";"Schindler's List"
"7";"8.9";"The Lord of the Rings: The Return of the King"
"8";"8.9";"Pulp Fiction"
"9";"8.8";"The Lord of the Rings: The Fellowship of the Ring"
"10";"8.8";"The Good, the Bad and the Ugly"
"11";"8.8";"Forrest Gump"
"12";"8.7";"Fight Club"
"13";"8.7";"Inception"
"14";"8.7";"The Lord of the Rings: The Two Towers"
"15";"8.7";"Star Wars: Episode V - The Empire Strikes Back"
"16";"8.7";"The Matrix"
"17";"8.7";"Goodfellas"
"18";"8.6";"One Flew Over the Cuckoo's Nest"
"19";"8.6";"Se7en"
"20";"8.6";"Seven Samurai"
"21";"8.6";"It's a Wonderful Life"
"22";"8.6";"The Silence of the Lambs"
"23";"8.6";"City of God"
"24";"8.6";"Saving Private Ryan"
"25";"8.6";"Life Is Beautiful"
"26";"8.6";"The Green Mile"
"27";"8.6";"Interstellar"
"28";"8.6";"Star Wars"
"29";"8.5";"Terminator 2: Judgment Day"
"30";"8.5";"Back to the Future"
"31";"8.5";"Spirited Away"
"32";"8.5";"Psycho"
"33";"8.5";"The Pianist"
"34";"8.5";"Léon: The Professional"
"35";"8.5";"Parasite"
"36";"8.5";"The Lion King"
"37";"8.5";"Gladiator"
"38";"8.5";"American History X"
"39";"8.5";"The Usual Suspects"
"40";"8.5";"The Departed"
"41";"8.5";"The Prestige"
"42";"8.5";"Casablanca"
"43";"8.5";"Top Gun: Maverick"
"44";"8.5";"Whiplash"
"45";"8.5";"The Intouchables"
"46";"8.4";"Modern Times"
"47";"8.4";"Hara-Kiri"
"48";"8.4";"Once Upon a Time in the West"
"49";"8.4";"Grave of the Fireflies"
"50";"8.4";"Rear Window"
"51";"8.4";"Alien"
"52";"8.4";"City Lights"
"53";"8.4";"Cinema Paradiso"
"54";"8.4";"Memento"
"55";"8.4";"Apocalypse Now"
"56";"8.4";"Indiana Jones and the Raiders of the Lost Ark"
"57";"8.4";"Django Unchained"
"58";"8.4";"WALL·E"
"59";"8.4";"The Lives of Others"
"60";"8.4";"Sunset Blvd."
"61";"8.4";"Paths of Glory"
"62";"8.4";"The Shining"
"63";"8.4";"The Great Dictator"
"64";"8.4";"Witness for the Prosecution"
"65";"8.4";"Avengers: Infinity War"
"66";"8.3";"Aliens"
"67";"8.3";"American Beauty"
"68";"8.3";"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
"69";"8.3";"Spider-Man: Into the Spider-Verse"
"70";"8.3";"The Dark Knight Rises"
"71";"8.3";"Oldboy"
"72";"8.3";"Joker"
"73";"8.3";"Amadeus"
"74";"8.3";"Braveheart"
"75";"8.3";"Toy Story"
"76";"8.3";"Coco"
"77";"8.3";"The Boat"
"78";"8.3";"Inglourious Basterds"
"79";"8.3";"Princess Mononoke"
"80";"8.3";"Avengers: Endgame"
"81";"8.3";"Once Upon a Time in America"
"82";"8.3";"Good Will Hunting"
"83";"8.3";"Requiem for a Dream"
"84";"8.3";"Toy Story 3"
"85";"8.3";"Your Name."
"86";"8.3";"Singin' in the Rain"
"87";"8.3";"3 Idiots"
"88";"8.3";"Star Wars: Episode VI - Return of the Jedi"
"89";"8.3";"2001: A Space Odyssey"
"90";"8.3";"Eternal Sunshine of the Spotless Mind"
"91";"8.3";"Reservoir Dogs"
"92";"8.3";"High and Low"
"93";"8.3";"Capernaum"
"94";"8.3";"Citizen Kane"
"95";"8.3";"Lawrence of Arabia"
"96";"8.3";"The Hunt"
"97";"8.3";"North by Northwest"
"98";"8.3";"M"
"99";"8.2";"Vertigo"
"100";"8.2";"Amélie"
"101";"8.2";"A Clockwork Orange"
"102";"8.2";"Come and See"
"103";"8.2";"Full Metal Jacket"
"104";"8.2";"Double Indemnity"
"105";"8.2";"The Apartment"
"106";"8.2";"Scarface"
"107";"8.2";"Ikiru"
"108";"8.2";"The Sting"
"109";"8.2";"To Kill a Mockingbird"
"110";"8.2";"Taxi Driver"
"111";"8.2";"L.A. Confidential"
"112";"8.2";"Up"
"113";"8.2";"Heat"
"114";"8.2";"Hamilton"
"115";"8.2";"Metropolis"
"116";"8.2";"A Separation"
"117";"8.2";"Snatch"
"118";"8.2";"Die Hard"
"119";"8.2";"Incendies"
"120";"8.2";"Indiana Jones and the Last Crusade"
"121";"8.2";"Bicycle Thieves"
"122";"8.2";"Spider-Man: No Way Home"
"123";"8.2";"1917"
"124";"8.2";"Like Stars on Earth"
"125";"8.2";"Downfall"
"126";"8.2";"For a Few Dollars More"
"127";"8.2";"Batman Begins"
"128";"8.2";"Dangal"
"129";"8.2";"The Kid"
"130";"8.2";"Some Like It Hot"
"131";"8.2";"The Father"
"132";"8.2";"All About Eve"
"133";"8.2";"Everything Everywhere All at Once"
"134";"8.2";"Green Book"
"135";"8.2";"The Wolf of Wall Street"
"136";"8.2";"Judgment at Nuremberg"
"137";"8.2";"Unforgiven"
"138";"8.2";"Ran"
"139";"8.2";"Casino"
"140";"8.2";"Pan's Labyrinth"
"141";"8.2";"There Will Be Blood"
"142";"8.2";"The Sixth Sense"
"143";"8.2";"A Beautiful Mind"
"144";"8.2";"Monty Python and the Holy Grail"
"145";"8.2";"The Truman Show"
"146";"8.1";"Yojimbo"
"147";"8.1";"The Treasure of the Sierra Madre"
"148";"8.1";"Rashomon"
"149";"8.1";"Shutter Island"
"150";"8.1";"The Great Escape"
"151";"8.1";"Jurassic Park"
"152";"8.1";"Kill Bill: Vol. 1"
"153";"8.1";"No Country for Old Men"
"154";"8.1";"Finding Nemo"
"155";"8.1";"The Elephant Man"
"156";"8.1";"Raging Bull"
"157";"8.1";"Chinatown"
"158";"8.1";"Gone with the Wind"
"159";"8.1";"V for Vendetta"
"160";"8.1";"The Thing"
"161";"8.1";"Inside Out"
"162";"8.1";"Lock, Stock and Two Smoking Barrels"
"163";"8.1";"Dial M for Murder"
"164";"8.1";"The Secret in Their Eyes"
"165";"8.1";"The Bridge on the River Kwai"
"166";"8.1";"Howl's Moving Castle"
"167";"8.1";"Three Billboards Outside Ebbing, Missouri"
"168";"8.1";"Trainspotting"
"169";"8.1";"Gran Torino"
"170";"8.1";"Warrior"
"171";"8.1";"Fargo"
"172";"8.1";"My Neighbor Totoro"
"173";"8.1";"Prisoners"
"174";"8.1";"Million Dollar Baby"
"175";"8.1";"The Gold Rush"
"176";"8.1";"Blade Runner"
"177";"8.1";"Catch Me If You Can"
"178";"8.1";"On the Waterfront"
"179";"8.1";"The Third Man"
"180";"8.1";"Children of Heaven"
"181";"8.1";"Ben-Hur"
"182";"8.1";"12 Years a Slave"
"183";"8.1";"The General"
"184";"8.1";"Wild Strawberries"
"185";"8.1";"Gone Girl"
"186";"8.1";"Before Sunrise"
"187";"8.1";"Harry Potter and the Deathly Hallows: Part 2"
"188";"8.1";"The Deer Hunter"
"189";"8.1";"In the Name of the Father"
"190";"8.1";"The Grand Budapest Hotel"
"191";"8.1";"Mr. Smith Goes to Washington"
"192";"8.1";"The Wages of Fear"
"193";"8.1";"Barry Lyndon"
"194";"8.1";"Sherlock Jr."
"195";"8.1";"Memories of Murder"
"196";"8.1";"Room"
"197";"8.1";"Hacksaw Ridge"
"198";"8.1";"Klaus"
"199";"8.1";"The Seventh Seal"
"200";"8.1";"Wild Tales"
"201";"8.1";"The Big Lebowski"
"202";"8.1";"How to Train Your Dragon"
"203";"8.1";"Mad Max: Fury Road"
"204";"8.1";"Mary and Max"
"205";"8.1";"Monsters, Inc."
"206";"8.1";"Jaws"
"207";"8.1";"The Passion of Joan of Arc"
"208";"8.1";"Hotel Rwanda"
"209";"8.1";"Tokyo Story"
"210";"8.1";"Dead Poets Society"
"211";"8.1";"Pather Panchali"
"212";"8.0";"Rocky"
"213";"8.0";"Platoon"
"214";"8.0";"Ford v Ferrari"
"215";"8.0";"Stand by Me"
"216";"8.0";"The Terminator"
"217";"8.0";"Spotlight"
"218";"8.0";"Rush"
"219";"8.0";"Into the Wild"
"220";"8.0";"Network"
"221";"8.0";"The Wizard of Oz"
"222";"8.0";"Logan"
"223";"8.0";"Groundhog Day"
"224";"8.0";"Ratatouille"
"225";"8.0";"Before Sunset"
"226";"8.0";"The Exorcist"
"227";"8.0";"The Best Years of Our Lives"
"228";"8.0";"The Incredibles"
"229";"8.0";"To Be or Not to Be"
"230";"8.0";"Rebecca"
"231";"8.0";"The Battle of Algiers"
"232";"8.0";"The Grapes of Wrath"
"233";"8.0";"Hachi: A Dog's Tale"
"234";"8.0";"Cool Hand Luke"
"235";"8.0";"Amores perros"
"236";"8.0";"Pirates of the Caribbean: The Curse of the Black Pearl"
"237";"8.0";"The 400 Blows"
"238";"8.0";"La Haine"
"239";"8.0";"Persona"
"240";"8.0";"My Father and My Son"
"241";"8.0";"Life of Brian"
"242";"8.0";"Dersu Uzala"
"243";"8.0";"It Happened One Night"
"244";"8.0";"The Sound of Music"
"245";"8.0";"The Handmaiden"
"246";"8.0";"Aladdin"
"247";"8.0";"Jai Bhim"
"248";"8.0";"Gandhi"
"249";"8.0";"The Help"
"250";"8.0";"Beauty and the Beast"
