"";"title";"Awards"
"1";"CODA";"3"
"2";"Dune";"6"
"3";"The Eyes of Tammy Faye";"2"
"4";"No Time to Die";"1"
"5";"The Windshield Wiper";"1"
"6";"The Long Goodbye";"1"
"7";"The Queen of Basketball";"1"
"8";"Summer of Soul";"1"
"9";"Drive My Car";"1"
"10";"Encanto";"1"
"11";"West Side Story";"1"
"12";"Belfast";"1"
"13";"The Power of the Dog";"1"
"14";"King Richard";"1"
"15";"Cruella";"1"
"16";"Nomadland";"3"
"17";"The Father";"2"
"18";"Judas and the Black Messiah";"2"
"19";"Minari";"1"
"20";"Mank";"2"
"21";"Sound of Metal";"2"
"22";"Ma Rainey's Black Bottom";"2"
"23";"Promising Young Woman";"1"
"24";"Tenet";"1"
"25";"Soul";"2"
"26";"Another Round";"1"
"27";"My Octopus Teacher";"1"
"28";"Colette";"1"
"29";"If Anything Happens I Love You";"1"
"30";"Two Distant Strangers";"1"
"31";"Parasite";"4"
"32";"Ford v Ferrari";"2"
"33";"Learning to Skateboard in a Warzone (If You're a Girl)";"1"
"34";"The Neighbors' Window";"1"
"35";"Little Women";"1"
"36";"Marriage Story";"1"
"37";"Jojo Rabbit";"1"
"38";"Toy Story 4";"1"
"39";"Joker";"2"
"40";"Once Upon a Time in Hollywood";"2"
"41";"1917";"3"
"42";"Judy";"1"
"43";"Bombshell";"1"
"44";"Rocketman";"1"
"45";"American Factory";"1"
"46";"Hair Love";"1"
"47";"Green Book";"3"
"48";"Bohemian Rhapsody";"4"
"49";"Roma";"3"
"50";"Black Panther";"3"
"51";"The Favourite";"1"
"52";"A Star Is Born";"1"
"53";"Vice";"1"
"54";"BlacKkKlansman";"1"
"55";"First Man";"1"
"56";"If Beale Street Could Talk";"1"
"57";"Bao";"1"
"58";"Free Solo";"1"
"59";"Period. End of Sentence.";"1"
"60";"Skin";"1"
"61";"Spider-Man: Into the Spider-Verse";"1"
"62";"The Shape of Water";"4"
"63";"Dunkirk";"3"
"64";"Three Billboards Outside Ebbing, Missouri";"2"
"65";"Darkest Hour";"2"
"66";"Blade Runner 2049";"2"
"67";"Coco";"2"
"68";"Phantom Thread";"1"
"69";"Call Me by Your Name";"1"
"70";"Get Out";"1"
"71";"I, Tonya";"1"
"72";"Dear Basketball";"1"
"73";"A Fantastic Woman";"1"
"74";"Heaven Is a Traffic Jam on the 405";"1"
"75";"Icarus";"1"
"76";"The Silent Child";"1"
"77";"Flesh and Sand (Carne y arena)";"0 (1)[1]"
"78";"Moonlight";"3"
"79";"La La Land";"6"
"80";"Hacksaw Ridge";"2"
"81";"Manchester by the Sea";"2"
"82";"Arrival";"1"
"83";"Fences";"1"
"84";"Fantastic Beasts and Where to Find Them";"1"
"85";"The Jungle Book";"1"
"86";"O.J.: Made in America";"1"
"87";"Piper";"1"
"88";"The Salesman";"1"
"89";"Sing";"1"
"90";"Suicide Squad";"1"
"91";"The White Helmets";"1"
"92";"Zootopia";"1"
"93";"Spotlight";"2"
"94";"Mad Max: Fury Road";"6"
"95";"The Revenant";"3"
"96";"Bridge of Spies";"1"
"97";"The Big Short";"1"
"98";"The Danish Girl";"1"
